Summary,Category
"meskipun kita tidak bisa membantu datang langsung kesana, setidaknya doa dan bantuan moril serta materiil dapat memberikan keringanan bagi rakyat palestina. pada acara tersebut hadir juga ketua dprd kabupaten sidoarjo usman, ketua pcnu sidoarjo zaenal abidin, ketua baznas kabupaten sidoarjo, seluruh kepala opd yang terkait dan ketua lintang songo foundation.mad bupati sidoarjo berharap selain bantuan berupa doa, juga sumbangsih warga sidoarjo berbentuk supporting, moril dan materiil sangat dibutuhkan untuk saudara kita di palestina. wajib bagi kita untuk memberikan doa dengan harapan semoga cobaan yang dialami akan segera diangkat oleh allah swt dan dapat hidup dengan damai, ucapnya. semoga semua amalan kita dicatat oleh allah swt, harapnya. solidaritas kita kepada saudara muslim kita di palestina, bukan hanya berkata dengan agama, tetapi jauh dari itu tema pada saat ini adalah kemanusiaan. melalui doa yang dipanjatkan akan menjadi jembatan kepada allah swt, dengan harapan rakyat palestina diberikan pertolongan dan perlindungan dari konflik yang sedang terjadi. alhamdulillah sudah terkumpul dana sebanyak rp 5 miliar yang terhimpun oleh baznas sidoarjo. bupati yang akrab disapa gus muhdlor, mengajak seluruh masyarakat untuk terus memanjaatkan doa untuk rakyat palestina. gebyar sholawat dan tahlil akbar bertajuk langitkan doa untuk saudara kita di palestina yang berlangsung khidmat tersebut diprakarsai oleh pemerintahan kabupaten sidoarjo, baznas kabupaten sidoarjo, pcnu sidoarjo dan lintang songo foundation, juga penggalangan dana  sebagai upaya membantu warga palestina. sidoarjo radarjatim.id   bupati sidoarjo ahmad muhdlor bersama majelis sholawat ahbabul musthofa dan ribuan warga sidoarjo telah menggelar gebyar sholawat dan tahlil akbar sebagai bentuk solidaritas terhadap palestina, pada sabtu 25112023 malam di parkir timur gor delta sidoarjo.",Religi
"kami haturkan terima kasih sebanyakbanyaknya kepada yayasan islam sunan giri dan para guru alquran atas donasi yang diamanahkan. alhamdulillah donasi yang terkumpul dari para guru sebesar 30.214.000, ucap cak amin. alhamdulillah terkumpul 8 juta rupiah, ujar kepala cabang nh gresik sholihul amin, jumat 10112023. lebih lanjut cak amin, sapaan akrab kacab nh gresik ini, menandaskan, kejahatan kemanusiaan masih terus berlangsung di palestina. di tempat terpisah, di yayasan islam sunan giri juga ada kegiatan berkisah dan galang dana untuk rakyat palestina. dalam kegiatan tersebut, 1.000 guru dengan penuh semangat hadir dalam kegiatan silaturahmi akbar dan pembinaan guru quran yang tergabung di program insentif bulanan guru alquran ibuqu yang diisi pembinaan dan ceramah agama oleh dr shobikhul qisom, mpd. keduanya, yakni silaturahmi akbar 1000 guru quran dan berkisah, dilanjut penggalangan dana untuk rakyat palestina, jumat 10112023. hadir dalam acara tersebut, kh abdullah munif, mewakili majelis ulama indonesia mui kabupaten gresik dan kh munhamir mukhlis, selaku ketua takmir masjid agung maulana malik ibrahim gresik. gresik radarjatim.id  momentum hari pahlawan 10 november 2023, yayasan nurul hayat nh gresik mengadakan 2 kegiatan sekaligus. dukungan dari rakyat indonesia terus meningkat, doa dan harapan dari muslim seluruh dunia, semoga perang ini segera berakhir.",Religi
"fauzi, s,ag.m.pd.i berharap buku karya siswa dan siswi ini nantika akan dapat memberikan kontribusi untuk pihak sekolah dan desa. fauzi.mad kami sangat mengapresiasi dan senang dalam menyambut kegiatan ini, semoga kontribusi kami dapat bermanfaat bagi adikadik peserta didik sma ypm 2 sukodono, ujar solikatin. kita sangat bersemangat untuk mengikuti outing ini, karena menambah wawasan, ilmu dan pengalaman baru yang berbeda dan yang mengajarkan kepada kita terkait toleransi beragama dan bermasyarakat, ujar salah satu siswi saat mengikuti kegiatan tersebut. kegiatan outing ini merupakan pertama kalinya dan sma ypm 2 sukodono menjadi yang pertama melaksanakan outing seperti ini. dilakukan di tiga tempat ibadah yang berbeda yakni masjid darussalam, gereja kristen jawi wetan dan pura penataran agung margowening di krembungsidoarjo, pada 7112023. kegiatan tersebut merupakan bentuk mengimplementasi kurikulum merdeka bertemakan bhineka tunggal ika dibalut dengan unsur toleransi serta kepedulian sosial terhadap sesama manusia meski berbeda agama. sebagai pedoman serta tambahan bahan baca untuk masyarakat, harap moh. siswa dan siswi kelas xi sma ypm 2 sukodono melakukan studi observasi ke desa wonomelatikrembung, sidoarjo dengan tujuan untuk mengeksplorasi moderasi beragama. antar umat islam, kristen dan hindu dalam satu lingkungan dengan tiga tempat ibadah yang berbeda namun tetap hidup rukun. kepala sekolah h. moh. sidoarjo radarjatim.id. akan dituangkan dalam bentuk buku beda agama, beda cara, satu suara indonesia raya. kehadiran mereka disambut hangat dan ramah oleh kepala desa hj. solikatin beserta perangkat desanya.",Pendidikan
"mereka sulit berobat karena rumah sakit telah dihancurkan, mereka juga sudah tidak bisa menuntut ilmu karena gedunggedung sekolah bahkan universitas telah luluh lantak.semoga doadoa yang kita panjatkan kepada allah bisa memberikan kekuatan dan keselamatan untuk warga palestina dan para syuhada yang telah wafat,  seru qosim.mad kita doakan semoga semoga saudara kita warga palestina yang meninggal dunia khusnul khotimah dan syahid, tutur kepala madrasah sebelum memulai shalat ghaib. mereka juga didampingi para dewan guru masingmasing saat melaksanakan shalat ghaib berjamaah seusai shalat dzuhur berjamaah.kegiatan ini diadakan untuk menumbuhkan rasa simpati dan empati atas bencana kemanusiaan yang ada di palestina. suasana penuh haru saat kepala madrasah h. m. qosim menceritakan bagaimana keadaan anakanak disana, mereka sangat kesulitan makan hanya bisa bertahan dengan makan roti satu potong untuk satu hari karena bantuan makanan dari dalam negeri maupun negara lain tidak bisa masuk. siswasiswi yang melaksanakan mulai dari kelas 4 sampai 6 yang berjumlah 450 anak, mereka dengan khusyu mengikuti shalat ghaib. shalat diikuti pada selasa 7112023, di masjid jami almuttaqin desa pagerwojo buduran sidoarjo. kepala madrasah ibtidaiyah maarif pagerwojo h.m. qosim menuturkan kalau kegiatan ini dalam rangka mengikuti  instruksi menteri agama republik indonesia h. yaqut cholil qoumas, yang kemudian diteruskan kakanwil kemenag provinsi jawa timur agar menyelenggarakan shalat ghaib untuk korban palestina. sidoarjo radarjatim.id  mi maarif pagerwojo menggelar shalat ghaib untuk ribuan korban rakyat palestina atas serangan israel. apalagi yang menjadi korban adalah saudara kita sesama muslim. banyak anakanak palestina seusia kalian meninggal terkena bom atau rudal dari tentara israel, selain orangorang dewasa yang ada disana.",Pendidikan
"ia jelaskan, kalau shalat ghoib diikuti semua siswa kelas 1 sampai 6. selain itu juga membuka open donasi untuk saudarasaudara kita yang berada di palestina sebagai bentuk rasa empati terhadap saudara muslim dan nantinya akan disalurkan melalui laziznu, pungkas ustadzah aulia.mad kepala mi al abror kauman sidoarjo, aulia rahmayanti, s.pd menuturkan dengan diadakannya sholat ghoib ini bertujuan untuk mendoakan para pejuang palestina yang sudah gugur mempertahankan negaranya. pelajaran dan pengalaman yang bermanfaat, tuturnya. termasuk mi al abror kauman sidoarjo juga menggerakkan seluruh siswanya untuk  melaksanakan shalat ghoib dan doa bersamasama, pada selasa 7112023 pagi. sholat goib ini dilakukan, juga sebagai salah satu langkah pembentukan karakter siswa agar bisa meningkatkan keimanannya, katanya. sidoarjo radarjatim.id  shalat ghoib dan doa bersama untuk kepedulian warga dan pejuang palestina terus dilakukan dari berbagai kalangan. sekaligus memberikan pelajaran  dan pengalaman bagi para siswa. karena mereka mereka baru melakukan sholat goib untuk pertama kalinya.",Pendidikan
"jatim, meneruskan perintah menteri agama, memohon  kepada kepala madrasah agar menggerakkan guru dan siswanya melaksanakan sholat ghoib untuk syuhada palestina.mad mereka berdoa agar allah swt memberikan perlindungan, kekuatan, dan keselamatan kepada mereka, serta menghendaki perdamaian yang sangat dibutuhkan oleh rakyat palestina. kepala mts nu sidoarjo,  fathoni jug menambahkan kalau mts_aliyah nu sidoarjo juga  menyerukan kepada bangsabangsa di dunia untuk menghormati hak dan martabat manusia, demi terwujudnya kemanusiaan dan masyarakat internasional yang stabil dan harmonis. kyai muzakki sekaligus imam sholat ghaib ketika mengekspresikan simpati dan dukungan kepada saudarasaudara seiman mereka di palestina, sedang mengalami berbagai kesulitan akibat konflik yang berlarutlarut. tampak suasana  khusyuk dan penuh haru mengiringi doa doa para syuhada palestina, yang di pimpin langsung oleh drs. ia katakan, shalat ghoib ini juga berdasarkan perintah kakanwil kemenag prov. semoga tindakan ini dapat menjadi contoh bagi masyarakat lainnya, untuk bersatu dalam upayaupaya kemanusiaan dan perdamaian global. ia jelaskan lebih lanjut, bahwa sholat ghaib ini juga menjadi momen berharga untuk mengajarkan kepada siswa mts dan ma nu  sidoarjo tentang pentingnya perdamaian, solidaritas, dan kepedulian terhadap saudarasaudara seiman di seluruh dunia. kami melaksanakan salat ghaib,  bagi syuhada korban konflik palestina. ini merupakan bentuk kepedulian, empati sekaligus solidaritas, dan dukungan dari umat muslim secara luas, kata kepala ma nu sidoarjo m baidlowi mpd, pada 7112023 siang. ratusan siswa siswi mts dan ma nu sidoarjo telah melaksanakan salat ghaib, serta memanjatkan doa yang dikhususkan kepada korban meninggal konflik di jalur gaza palestina. sidoarjo radarjatim.id  terkait tragedi kemanusiaan yang ada palestina yang semakin tidak terkendali. mereka juga didampingi para dewan guru masingmasing melaksanakam shalat ghoib berjamaah di masjid nurul anwar bcf bumi citra fajar sidoarjo usai sholat dzuhur berjamaah. sebagai bagian dari upaya memohon pertolongan allah, agar bencana kemanusiaan di palestina segera berhenti, doa pak baidlowi_sapaan akrabnya.",Pendidikan
"ada 5 dewan juri pada acara grand final duta santri sidoarjo 2023, ketua tim penggerak pkk kabupaten sidoarjo sekaligus istri bupati sidoarjo hj. saadah ahmad muhdlor, miss tourism queen international park revinda carina, pc rmi pengurus cabang rabithah maahid islamiyah sidoarjo agus arifuddin, wakil sekretaris pcnu sidoarjo abdul mujib dan ketua lpnu sidoarjo m. roni yudianto.mad dan yang kedua, adalah metode question and answer qna yang mencakup kepribadian, keislaman, wawasan bangsa dan mencakup visi misi kontribusi. ia juga berharap santrisantri di kabupaten sidoarjo menjadi garda terdepan dengan memiliki programprogram yang baik untuk generasi millenial menuju generasi emas tahun 2045. duta santri yang terpilih harus memiliki visi misi dan programprogram yang baik untuk mempengaruhi dan menumbuhkan generasi santri millenial menuju generasi emas 2045, harap bupati muhdlor. proses penjurian pada acara tersebut memiliki 2 tahapan, yang pertama penilaian catwalk yang mendasari kelincahan, keluwesan dan keserasian gerakan para peserta. namun, jadikan sebagai ajang yang mampu menumbuhkan santrisantri berkontribusi positif bagi pembangunan dan kemajuan kabupaten sidoarjo, pesannya. sidoarjo radarjatim.id  pemilihan duta santri pelajar nu sidoarjo 2023, yang merupakan rangkaian puncak peringatan hari santri nasional 2023. pada grand final telah dibuka langsung oleh bupati sidoarjo ahmad muhdlor ali beserta istrinya hj. saadah ahmad muhdlorning shasa, pada 4112023 malam. setelah dilakukan penilaian oleh tim juri, pemenangnya adalah ketegori putri juara 1  siti maulidatur rohmaniyah pp jabal nur mwcnu taman, juara 2  sayyidah fatimatuz zahro pp al mubarokah mwcnu porong juara 3  maulida fitri fi ardilla pp darul hafidin mwcnu wonoayu best favorit  aininna halizah pp roudhatul ulum mwcnu sidoarjo kota kategori putra juara 1   m.thufail al amin pp salafiyah giri ketawang mwcnu sukodono juara 2  m. thoifur romli rozani pp al hidayah mwcnu waru juara 3  achmad syahrul mauludi pp mambaul hikam mwcnu tanggulangin best favorit  riski wahyu saputra pp darul ulum mwcnu tulangan bupati sidoarjo ahmad muhdlor  berpesan agar duta santri yang terpilih mampu berkontribusi dan memberikan dampak positif bagi kabupaten sidoarjo.",Pendidikan
"sementara wahidya difta memberikan tips dalam menghadapi tantangan budaya populer dalam dunia dakwah kampus di era kontemporer. peserta seminar pemikiran dan peradaban islam tidak hanya dari kampus unida gontor dan ukki unesa, tapi juga sejumlah kampus di jatim. dalam mengelola manajemen dahwah kampus, perlu memperhatikan tiga hal, yaitu, pertama melestarikan budaya keilmuan, seperti membaca, menulis, dan berdiskusi dengan melibatkan kaca mata islam. banyak temuan perilaku remaja yang menyimpang seperti bunuh diri dan pesta narkoba dengan dalih untuk mengekspresikan diri. di antaranya, ukki narotama, pgri adi buana, w.r. supratman, dan dr soetomo sebagai mitra ukki unesa. jika kita menyinggung toleransi beragama tidak mesti bermakna pluralisme agama, sehingga dalam peranannya toleransi beragama cukup memahami dan membiarkan tanpa membenarkannya, terangnya. dengan begitu dibutuhkan sikap toleransi dalam antarindividu. nur fadhilah dari uin sultan aji muhammad idris samarinda, andi ichsan adiwisastera dari uin alauddin makassar, dan wahidya difta dari universitas gadjah mada. alasan tersebut diperlukan untuk meneruskan embrio peradaban islam seperti, nur kholis majid, gus dur. andi ichsan adiwisastera menyoroti fenomena selubung pluralisme agama dalam isu toleransi beragama di indonesia. nur fadhilah menyampaikan terkait problem konsep diri dan krisis identitas remaja. sebab, sdm tersebut akan melanjutkan tonggak estafet peradaban dan mensyiarkan ajaran islam. indonesia sebagai negara majemuk terdiri atas berbagai suku, ras, budaya dan agama. mengingat lembaga dakwah kampus berperan sebagai promotor dan eksekutor dalam menegakkan amar maruf nahi munkar. dengan begitu syiar agama tidak terputus, terbentuknya pribadi berkarakter dan berakhlak melalui seruan dakwah yang dilakukan, lanjutnya. dengan begitu akan menimbulkan kejumudan berpikir hingga berujung terciptanya ekstrimisme beragama, tutur salsabily haudlillah, ketua pelaksana, kamis 2112023. ditegaskan, kegiatan tersebut diadakan sebagai alarm para lembaga dakwah kampus agar menjadi garda terdepan menghalau pola pemikiran yang menyimpang dari ajaran islam. sebagai contoh mbkmmsib yang mendorong pendidikan ke arah pragmatismaterealistik yang diliputi nilainilai neoliberalisme. dalam seminar tersebut terdapat tiga pemateri yang membawakan materi berbedabeda, namun saling berkaitan. kegiatan seminar diberlakukan sebagai upaya mengatasi kelesuan dalam berdakwah, terutama di area kampus. hal senada diungkapkan prof turhan yani, pembina ukki unesa. menjadi aktivis organisasi islam di dunia perkuliahan diperlukan. menurutnya, peradaban islam dipengaruhi oleh sdm yang berkualitas. surabaya radarjatim.id  di tengah lesunya pola dakwah kampus, universitas darussalam gontor menggandeng unit kegiatan kerohanian islam ukki unesa untuk mengupas tuntas 3 isu strategis dakwah kampus, rabu 1112023. bertempat di ruang pertemuan lppm unesa, isu tersebut dikupas melalui kegiatan bertajuk seminar pemikiran dan peradaban islam. bisa kita lihat telah terjadi pengikisan fundamental nilainilai islam dalam diri mahasiswa yang mempengaruhi pemikiran akibat peradaban barat yang kurang terfiltrasi. ia mencoba mengkritisi fenomena banyaknya remaja yang mencoba mengakhiri problematika dunia dengan sikap menyimpang.",Religi
"selain itu, kemarau di negeri ini segera berakhir dan hujan seger turun.mad ini kali pertama melaksanakan salat tersebut, ungkap kenzi, salah satu siswa smpit insan kamil sidoarjo. aku senang bisa salat goib dan istisqo. selain itu, menjelaskan tata cara salat goib dan salat istisqo. ia berharap palestina segera dibebaskan dari penderitaan yang saat ini tengah terjadi. beliau menyampaikan tentang keadaan yang terjadi saat ini di palestina. ia menambahkan bahwa salat istisqo ini salah satu bentuk ikhtiar menghadapi kemarau. ini adalah bentuk sebuah kepedulian terhadap warga palestina yang menghadapi tragedi kemanusiaan, ungkap ustad choirul, direktur ypit insan kamil sidoarjo. sidoarjo radarjatim.id  ratusan siswa sdit dan smpit insan kamil sidoarjo berkumpul di lapangan smpit insan kamil melaksanakan salat goib dan salat istisqo, selasa, 31 oktober 2023. kegiatan tersebut bertujuan untuk mendoakan para syuhada yang telah meninggal dunia di palestina. selain itu, memohon diturunkan hujan, karena sudah sekian lama tidak turun hujan akibat kemarau yang berkepanjangan.",Pendidikan
"doa dan pengharapan, semoga kegiatan yang diikuti siswasiswi sekolah ini bisa lancar, mudah dan sukses kedepannya, doanya.mad kami berharap para siswa yang yang mengikuti majlis dzikir ini sukses dalam hal imtaq dan ipteknya. namun, semua itu merupakan yang terbaik dari allah swt dan mendapatkan syafaat dari nabi besar muhammad saw, harapnya. zikir bersama ulama dan habib merupakan aktivitas rutin dalam tiap tahun yang diselenggarakan oleh mgmp musyawarah guru mata pelajaran pendidikan agama islam di sekolah, sekaligus memperingati hari santri nasional, juga hari sumpah pemuda. waka kesiswaan smk antartika 2 sidoarjo akhmad munir, s.pd mm menuturkan yang terlibat dalam sholawat bersama ini adalah segenap warga smk antarika 2 buduran mulai siswa kelas x, xi, xii, bapak, ibu guru dan karyawan yang muslim semua mengikuti kegiatan zikir bersama di lapangan sekolah. selain itu sebagai wujud implementasi dari misi sekolah yang pertama, yakni menyelenggarakan kegiatan peningkatan iman dan takwa yang bertujuan memiliki karakter yang baik, tuturnya. sholawatan yang bertemakan smart2 bersholawat, cinta rosul membentuk akhlaq mulia pihak smk antartika 2 buduran sidoarjo menghadirkan habib anis syahab dari jakarta. sidoarjo radarjatim.id  bertepatan dengan peringatan hsn hari santri nasional 2023 sekaligus hari sumpah pemuda ke 95 tahun 2023. keluarga besar smk antartika 2 buduran sidoarjo, mulai dari ribuan siswanya, guru dan karyawan menggelar dzikir, bersholawat bersama dan doa bersamasama, pada senin 30102023 pagi. segala hal yang terjadi sudah ketentuan dari allah swt, kita harus berusaha maksimal dan ikhtiar harapkan hasilnya.",Pendidikan
