,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
0,STRATEGI ADAPTASI PEDAGANG MAKANAN TRADISIONAL TERHADAP RELOKASI PUSAT MAKANAN RAKYAT                   DI ALUN-ALUN KABUPATEN BANGKALAN ,Arief Barawijaya,"Drs. Subandri, M.S","Arie Wahyu Prananta, S.Pi., M.Sos","RINGKASAN
Arief Barawijaya, NIM. 08.05.2.1.1.000.66, Program studi Sosiologi, Fakultas  Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini Tentang, Strategi Adaptasi Pedagang Makanan Tradisional Terhadap Relokasi Pusat Makanan Rakyat Di Alun-Alun Kabupaten Bangkalan, di bawah bimbingan Drs. Subandri, M.S dan Arie Wahyu Prananta, Spi., M.Sos.
 
Penelitian ini dilatar belakangi oleh adanya kebijakan pemerintah yang merelokasi para pedagang makanan yang berada di pinggir-jalan atau di tempat lain ke tempat relokasi yang baru yaitu di Pumara. Hal tersebut disebabkan keberadaan makanan yang berjualan di pinggir-pinggir jalan menimbulkan kesan kumuh dan kurang rapi dalam penataan tata ruang kota. Dengan adanya kebijakan dari pemerintah setempat yang disosialisasikan dalam waktu yang sempit banyak para pedagang makan tradisional tidak dapat memberikan informasi dengan baik tentang perpindahan mereka ke Pumara. Di lain hal dengan seiring berjalnnya waktu, pedagang makanan di Pumara semakin berkurang. Fenomena tersebut dikarenakan pendapatan mereka menurun dibandingkan pendapatan pada saat berjualan di tempat sebelum direlokasi. Hal ini menyebabkan banyak para pedagang makanan baik tradisional ataupun modern tidak dapat mempertahankan eksistensi mereka. Masih adanya pedagang makan tradisional yang tetap eksis berjualan di Pumara yang lokasinya berdekatan dengan Alun-alun Kota semakin menimbulkan kesan Kumuh. Strategi adaptasi dalam mempertahankan eksisnya diamati dari tindakan-tindakan sosial yang dilakukan para pedagang mkanan tradisional baik secara kelembagaan ataupun dari tindakan sosial mereka di lokasi. 
Penelitian ini menggunakan metode kualitatif deskriptif dengan pendekatan  fenomenologi berdasarkan paradigma perilaku sosial dengan menggunakan teori pertukaran (exchange). Peneliti menggali data di lapangan dengan observasi, catatan lapangan dan wawancara mendalam kepada para informan yang dipilih berdasarkan purpossive sampling. Data yang diperoleh dianalisa menggunakan teknik analisa deskriptif kualitatif dari berbagai fenonomena pengolahan aset yang digunakan para pedagang, data diperiksa keabsahannya dengan triangulasi sumber dan triangulasi penyelidikan, agar data yang diperoleh menjadi valid. Penelitian ini berlokasi di Pusat Makanan Rakyat (PUMARA) yang berdekatan dengan alun-alun kota Kabupaten Bangkalan.
Hasil penelitian ini menunjukkan bahwa para pedagang makanan tradisional pada khususnya melakukan tindakan-tindakan sosial dengan melakukan kesepakatan dengan pedagang lainnya baik kesepakatan secara terbuka ataupun tertutup dengan penjabaran berbagai pengolahan aset. Adanya organisasi / lembaga sisoal yang membawahi dan disepakati oleh para pedagang makanan di Pumara pada umumnya, dianggap kurang memadai dalam menumbuhkan kesejahteraan para pedagang sendiri. Adanya aliran listrik gratis yang diberikan oleh pemerintah setempat terasa sangat membantu eksistensi para pedagang makanan. Sehingga tidak mengeluarkan biaya lain lagi untuk membayar tagihan listrik di Pumara dan tidak mengurangi pendapatan mereka.
  
Kata Kunci : Strategi Adapatasi, relokasi.
"
1,"TRADISI PERTUNANGAN PADA USIA DINI
( Studi Kasus Pada Masyarakat di Desa Pegagan Kecamatan Pademawu Kabupaten Pamekasan )
",sabri,"Drs. Subandri., M.S","Dr. Sri Hidayati., M.Si.","ABSTRAK
Penelitian ini berjudul “Tradisi Pertunangan Pada Usia Dini Studi:di Desa Pegagan Kecamatan Pademawu Kabupaten Pamekasan”. Penelitian ini bertujuan untuk: Mengetahui bagaimana pelaksanaan tradisi pertunangan pada usia dini dan untuk mengetahui apatujuandilakukannya pertunangan pada usia dini di Desa Pegagan Kecamatan Pademawu Kabupaten Pamekasan.
Penelitian ini merupakan penelitian deskriptif-kualitatif dengan menggunakan pendekatan studi kasus yang berusaha menggambarkan situasi sebagaimana adanya dan sedetail mungkin. Selanjutnya dianalisis dan disimpulkan sebagai penggambaran situasi yang dianggap penting. Untuk melakukan penelitian yang sangat mendalam terhadap suatu objek penelitian yang dipilih, maka dilakukan pengamatan langsung (survei) serta wawancara terhadap objek yang bersangkutan agar dapat memperoleh data sedetail dan lengkap.
Hasil penelitian ini menunjukkan bahwa tradisi pertunangan diawali  dengan penetapan calon pihak perempuan, yang dilakukan dengan cara mencari informasi oleh utusan (orang yang bisa dipercaya) dari pihak laki-laki. Setelah adanya penetapan calon pihak perempuan yang dilakukan oleh utusan, kemudian dilakukan pertemuan antar kedua belah pihak ( keluarga laki-laki dan perempuan) untuk melakukan acara lamaran yang berisi serah terima oleh kedua belah pihak baik dari segi materi (barang bawaan seperti buah-buahan atau makanan seperti kue-kue) ataupun non materi (ungkapan kata-kata, rasa kasih sayang untuk anak-anak mereka). Penelitian ini menggunakan teori pertukaran M.peter blau (1964) yang berasumsikan bahwa tindakan yang tergantung pada reaksi pemberian hadiah secara Entrinsik (berupa uang atau barang) atau Intrinsik (berupa rasa kasih sayang, cinta, atau perasaan) dari orang lain, tindakan akan segera berhenti apabila hadiah tersebut tidak kunjung datang.
Kata Kunci: Tradisi, Pertunangan, Usia Dini.
"
2,DINAMIKA PERSAINGAN PERAN KIAI DAN BLATER DALAM PEMILIHAN KEPALA DESA DI DESA BANYUMAS KECAMATAN SAMPANG KABUPATEN SAMPANG,syarif hidayatullah,"syamsu budiyanti, S.sos, M.si","iskandar dzulkarnain, S.Thi, M.si","ABSTRAK
Syarif Hidayatullah NIM. 07.01.211.00033, Program Studi Sosiologi Fakultas Ilmu Sosial Dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini tentang. DINAMIKA PERSAINGAN PERAN KIAI DAN BLATER DALAM PEMILIHAN KEPALA DESA DI DESA BANYUMAS KECAMATAN SAMPANG KABUPATEN SAMPANG. Di bawah bimbingan Dosen Ibu Syamsu Budiyanti. S.sos, M.si dan Bapak Iskandar Dzulkarnain. S.Thi, M.si.
Penelitian ini dilatar belakangi oleh peran kiai dan blater dalam memperebutkan kekuasaan desa yang menimbulkan persaingan demi sebuah kepentingan golongan atau komunitasnya. Dinamika sosial relasi antara kiai dan blater dalam memelihara eksistensi kekuasaan begitu koplek, terkadang unik dan menegangkan. 
Persaingan peran kiai dan blater memberikan warna tersendiri bagi masyarakat dalam menghadapi pemilihan kepala desa. Kedudukan dan peran kedua tokoh tersebut memiliki tempat terhormat dikalangan pengikutnya dan bahkan kalangan politisi yang senantiasa memakai jasa mereka untuk memperebutkan suara dikalangan masyarakat. 
Persaingan kiai dan blater sangat dirasakan langsung oleh masyarakat menjeleng pemilihan kepala desa, desa yang kehidupan sehari-harinya tenang dan damai, menjadi tegang dan memanas menjelang ajang lima tahunan tersebut. Kekuatan dari masing masing kedua tokoh tersebut mulai diperlihatkan untuk merebut kekuasaan tertinggi di desa, tak hayal masyarakat dibuat bingung dalam menentukan pilihan politiknya, karena kedua tokoh tersebut sama-sama mempunyai pengaruh yang sangat besar dalam kehidupan sosial bermasyarakat.
Penelitian ini menggunakan metode penelitian kualitatif dengan menggali data dilapangan dengan cara observasi dan wawancara kepada informan yang sudah ditentukan dalam pedoman metodelogi.
"
3,"FENOMENA JUDI MELALUI MIG33
PADA MASYARAKAT DESA  TOGUBANG KECAMATAN GEGER KABUPATEN BANGKALAN
",Rusli,"Syamsu budiyanti, S.Sos. M.Si",Arie Wahyu P. S.Pi. M.Si,"FENOMENA JUDI MELALUI MIG33 
PADA MASYARAKAT DESA  TOGUBANG KECAMATAN GEGER KABUPATEN BANGKALAN

Rusli
07.02.1.1.000.30
	Mig33  adalah sebuah program dalam tekhnologi untuk menyampaikan pesan antar sesama teman atau saudara agar tidak ada pembatas. mig33 adalah suatu permainan chat yang digagas oleh crazygrape yang berasal dari Australia. Eksistensi Mig33 dalam perkembangan teknologi semakin memperkokoh ke eksistensiannya judi dalam memperluas jaringan perjudiannya. Karena staff telah memberikan fitur-fitur bagus oleh beberapa inovator teknologi guna meraih simpati dihati masyarakat atau dunia tertentu untuk menggunakan teknologi
 	Penelitian ini menggunakan metode kualitatif deskriptif. Peneliti menggali data di lapangan dengan observasi partisipan dan wawancara mendalam kepada para informan yang dipilih berdasarkan kriteria. Data yang diperoleh menggunakan teknik analisa deskriptif kualitatif. Data diperiksa keabsahannya dengan triangulasi sumber. Agar data yang diperoleh menjadi valid. Penelitian ini berlokasi di Desa Togubang, Kecamatan Geger, Kabupaten Bangkalan. Penelitian ini menggunakan teori tindakan sosial yang dijelaskan oleh Max Weber. Teori tindakan tindakan mempunyai asumsi bahwa manusia pada umumnya rasional, bahwa mereka bertindak dengan mempertimbangkan bahwa hal tersebut adalah baik bagi mereka. Namun, rasionalitas dalam jenis tindakan Weber ini tidak terbatas pada pengertian yang sempit untuk 'memaksimalkan keuntungan' sebagaimana ketika digunakan dalam term ekonomi. Seseorang yang melakukan sesuatu karena mengikuti kebiasaan mungkin merupakan sesuatu yang sangat rasional ketika mengacu pada rasionalitas tindakan dalam pandangan Weber.
	Dampak yang didapat dari judi melalui mig33 sangat merugikan kepada diri sendiri karena dengan bermain judi dalam dunia maya tersebut suatu pekerjaan akan terbengkalai karena perjudian ini tidak mengenal waktu dan tempat sehingga para pejudinya bisa bermain kapan saja. Tetapi judi melalui mig33 ini aman dari pantauan aparat keamanan dan sangat flexibel sehingga tidak terlalu buruk terhadap pandangan masyarakat dan tetangga.


Kata kunci: Judi Melalui Mig33, Interaksi Sosial
"
4,"Konstruksi Sosial Predikat Haji (Studi Kasus Di Desa Gunung Eleh, Kecamatan Kedungdung, Kabupaten Sampang)",MAHMUD,"Drs. Subandri, M.S","Iskandar Dzulkarnain, S.Th.I., M.Si","ABSTRAK
Mahmud, NIM. 08.05.2.1.2.000.02, Program studi Sosiologi, Fakultas  Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini Tentang, Konstruksi Sosial Predikat Haji (Studi Kasus di Desa Gunung Eleh, Kecamatan Kedungdung, Kabupaten Sampang), dibawah bimbingan Drs. Subandri, M.S dan Iskandar Dzulkarnain, S.Th.I., M.Si.

Latar belakang dari penelitian ini adalah begitu besarnya minat penduduk Madura khususnya masyarakat Desa Gunung Eleh untuk melaksanakan ibadah haji, padahal Desa Gunung Eleh berada di wilayah kabupaten Sampang yang dianggap paling terbelakang secara ekonomi dibandingkan dengan kabupaten lainnya di Madura. Pelaksanaannya, haji tidak hanya dilaksanakan dengan ketentuan-ketentuan agama saja, akan tetapi di dalam masyarakat tersebut ada suatu kebiasaan-kebiasaan yang menjadi sebuah tradisi dan yang tersistem dalam masyarakat. Apabila seseorang yang menunaikan ibadah haji ada tradisi-tradisi yang dilakukan di tempat asal baik sebelum berangkat maupun sepulang dari melakukan ibadah haji. Tradisi tersebut cukup besar biayanya, namun akan terasa aneh jika ada orang yang tidak melakukan tradisi tersebut. Tujuan dari penelitian ini adalah mendiskripsikan bagaimana masyarakat Desa Gunung Eleh memandang dan mengkonstruksi predikat haji 
Penelitian ini, menggunakan metode kualitatif deskriptif dengan pendekatan studi kasus. Peneliti menggali data di lapangan dengan observasi dan wawancara mendalam kepada para informan yang dipilih berdasarkan seleksi berdasarkan kriteria. Data yang diperoleh dianalisia menggunakan teknik analisa deskriptif kualitatif, data diperiksa keabsahannya dengan triangulasi sumber dan triangulasi penyelidikan, agar data yang diperoleh menjadi valid. Penelitian ini berlokasi di Desa Gunung Eleh, Kecamatan Kedungdung, Kabupaten Sampang.
Hasil penelitian menunjukkan bahwa ada tradisi lokal dalam ibadah haji yang dilakukan oleh masyarakat Desa Gunung Eleh. Adapun tradisi tersebut dilakukan dalam tiga tahap. fase persiapan yaitu sebelum pelaku haji berangkat  ketanah  suci,  kemudian  yang  kedua fase  pertengahan  dimana  ketika pelaku haji sedang berada di tanah suci Mekah, dan yang ketiga yaitu fase paska haji yaitu dimana ketika pelaku haji pulang dari ibadah hajinya. Adanya tradisi-tardisi lokal telah menjadikan ibadah haji lebih istimewa dibandingkan dengan ibadah-ibadah lainnya di dalam masyarakat Desa Gunung Eleh, selain itu presepsi masyarakat terhadap orang yang berstatus haji sebagi orang yang kaya dan sebagi seorang yang abid yaitu orang yang banyak ibadahnya atau sebagi ahli ibadah. Status haji menjadi sangat istimewa, bahkan ketika misalnya pergi ke acara pernikahan, slametan, tahlilan dan sebagainya akan duduk di langgar dengan para kyai, ustadz dan juga tokoh masyarakat yang lain. Sedangkan yang masyarakat biasa duduk di taneyan (Halaman). Dengan demikian, seseorang yang telah melaksanakan ibadah haji akan terangkat nilai status sosialnya di mata masyarakat desa Gunung Eleh.

Kata Kunci : Konstruksi Sosial, Predikat Haji
"
5,"Perubahan Perilaku Beragama Alumni Pondok Pesantren
(Studi Kasus di Universitas Trunojoyo Madura)
",Taufikurrohman,"Iskandar Dzulkarnain, S.Thi., M.Si","Hetti Mulyaningsih, S.Sos., M.Kes","RINGKASAN
Taufikurrohman, NIM. 08.05.2.1.2.000.26, Program studi Sosiologi, Fakultas  Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini Tentang, Perubahan Perilaku Beragama Alumni Pondok Pesantren (Studi Kasus di Universitas Trunojoyo Madura), di bawah bimbingan Iskandar Dzulkarnain, S.Th.I., M.Si dan Hetty Mulyaningsih, S. Sos., M. Kes
Penelitian ini dilatar belakangi oleh banyaknya alumni pondok pesantren yang mengalami perubahan perilaku keberagamaan ketika berada di lingkungan kampus. Alumni pondok pesantren yang awalnya mempunyai perilaku keberagamaan yang tinggi dan rajin melakukan ibadah wajib dan sunnah berubah perilaku keberagamaannya. Dunia mahasiswa yang sangat baru dan berbeda 180 derajat dari dunia pesantren membuat banyak alumni pondok pesantren tertarik untuk mencoba dunia baru tersebut. Dunia mahasiswa yang rentan dengan berbagai pergaulan bebas, pacaran, narkoba, mabuk-mabukan, nongkrong di warung dan lain sebagainya menjadi sesuatu yang menarik untuk dicoba karena hal tersebut tidak terdapat di dunia pondok pesantren. Tujuan dari penelitian ini adalah untuk mendiskripsikan perubahan perilaku beragama alumni pondok pesantren di Universitas Trunojoyo Madura. 
Penelitian ini, menggunakan metode kualitatif deskriptif dengan pendekatan studi kasus. Peneliti menggali data di lapangan dengan observasi terlibat dan wawancara mendalam kepada para informan yang dipilih berdasarkan seleksi berdasarkan kriteria. Data yang diperoleh dianalisia menggunakan teknik analisa deskriptif kualitatif, data diperiksa keabsahannya dengan triangulasi sumber dan triangulasi penyelidikan, agar data yang diperoleh menjadi valid. Penelitian ini berlokasi di Universitas Trunojoyo Madura, Kecamatan Kamal, Kabupaten Bangkalan.
Hasil penelitian ini, dideskripsikan melalui pemaparan sebagai informasi dari temuan data selama penelitian. Hasil penelitian menunjukkan bahwa sebagian besar informan masuk ke pondok pesantren setelah lulus SD/MI. Hal ini di sebabkan karena sebagian besar teman-teman sebayanya masuk ke pondok pesantren. Perilaku keagamaan alumni santri ketika berada di pondok pesantren sangat rajin. Ada banyak kegiatan pokok, penunjang dan pengembangan di pondok pesantren yang membuat informan melakukan kegiatan beragama dengan rajin. Kegiatan tersebut antara lain sholat berjama’ah, mengaji al-qur’an, mengaji kitab kuning, khitobah, takror malam dan lainnya.
Setelah alumni pondok pesantren keluar dan berada di lingkungan kampus, perilaku keberagamaan alumni pesantren mengalami perubahan drastis. Ada yang masih konsisten untuk tetap melakukan ibadah wajib dan kegiatan keagamaan lain walaupun tidak serajin dulu. Namun ada informan yang sudah sangat jarang melakukan ibadah, bahkan bisa dikatakan tidak sama sekali. Bahkan informan ini mengenal dunia bebas seperti narkoba, minuman keras, dunia malam dan lainnya.  
  
Kata Kunci : Perubahan, Perilaku Beragama, Alumni Pondok Pesantren


"
6,Analisa Respon Masyarakat Terhadap Pembangunan Pelabuhan di Desa Batukerbuy Kecamatan Pasean Kabupaten Pamekasan,Mashulla,"Syamsu Budiyanti, S.Sos., M.Si","Iskandar Dzulkarnain, S.Th.I., M.Si","Penelitian ini berjudul “Analisa Respon Masyarakat Terhadap Pembangunan Pelabuhan di Desabatukerbuy kecamatan pasean kabupaten pamekasan”. Penelitian ini dilakukan oleh Mashulla, NIM 08.05.211.000.16, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, Penelitian ini bertujuan untuk: Mengetahui Respon Masyarakat Terhadap Pembangunan Pelabuhan di Desa batukerbuy. di Desa Batukerbuy Kecamatan Pasean kabupaten pamekasan.Pulau Madura sebagai bagian dari propinsi Jawa Timur dituntut untuk berpacu dengan kabupaten lain di Jawa Timur dalam menyongsong otonomi daerah. Selama ini pulau Madura agak tertinggal dengan daerah-daerah lain. Jumlah penduduk Pulau Madura berdasarkan data dari Biro Pusat Statistik Jawa Timur sebesar 3.492.130 jiwa, masing-masing 740.150 untuk Pamekasan, Sampang 833.640 jiwa, Bangkalan 886.080 jiwa dan terbanyak  kabupaten Sumenep 1.032.260 jiwa. Penduduk Madura paling banyak bekerja di sektor pertanian 63,60%, selanjutnya di sektor perdagangan 11,1% dan jasa kemasyarakatan 7,60% (sumber: Jatim dalam angka, BPS Jawa Timur,2003).
Respon Masyarakat sangat banyak sekalai terhadap pembangunan pelabuhan di desa batukerbuy Berdasarkan pada pemaparan dan analisis data yang telah diuraikan pada bab sebelumnya, maka yang dapat penulis simpulkan dari respon masyarakat terhadap pembangunan pelabuhan di Desa Batukerbuy. Bahwa kalau saya sangat setuju dengan danya pelabuhan tapi pemerintah harus ada kerjasama dengan masyarkat biar masyarakat boleh jualan di tempat pelabuhan biar mempunyai penghasilan untuk biaya hidup sehari-hari.Setelah beberapa masyarakat diwawan carai bahwa dengan adanya pelabuhan jawabannya setuju terus karena nantinya masyarakat bias pempunyai lahan pekerjaan di tempat pelabuhan dan orang-orang yang akan dating kepelabuhan orang-orang dari luar Madura apalagi katanya pelabuhan tersebut untuk umum.Para tokoh masyarakat seperti para alim ulama’ yang berada di desa batukerbuy sangat tidak setuju sama sekali terhadap pembangunan pelabuhan, karena nantinya pelabuhan tersebut pasti akan dijadikan tempat wisata oleh para pemuda dan dibuat yang aneh-aneh oleh pemuda maka sangat menghimbau ke pemerintah nantinya harus di perketat penjagaan masuk pelabuhan, karena pada akhir tahun 2013 harus selesai pelabuhan tersebut. 
Dari segi positif dan negatifnya masyarakat terhadap pembangunan pelabuhan di desa batukerbuy.Dampak negatifnya juga pasti ada karana masyarakat di desa batukerbua dan diluar batukerbua selalu member masukan terhadap pemerintah dengan adanya pelabuhan tersebut. Masalah damapak negatifnya pasti ada karena masyarakat selalu memantau terhadap pemerintah dengan pembangunan pelabuhan karena takutnya ada yang tidak di inginkan oleh masyarakat sekitar apalagi luara desa batukerbuy
Kata Kunci: Analisa Respon, Pembangunan,Pelabuhan,Masyarakat,Industri.
"
7,Strategi Adaptasi Pedagang Kaki Lima Terhadap Kebijakan Relokasi Pemerintah Kota Pamekasan Di Jalan Dirgahayu Kelurahan Bugih Kecamatan Pamekasan Kabupaten Pamekasan,Ulfa Rahmawati,"Arie Wahyu Prananta, S. Pi, M.Sos","Aminah Dewi Rahmawati, S.Sos. M.Si","Penelitian ini dilakukan di Kelurahan Bugih Kecamatan Pamekasan Kabupaten Pamekasan dengan judul: “Strategi Adaptasi Pedagang Kaki Lima Terhadap Kebijakan Relokasi Pemerintah Kota Pamekasan Di Jalan Dirgahayu Kelurahan Bugih Kecamatan Pamekasan Kabupaten Pamekasan”. Penelitian ini dilakukan oleh Ulfa Rahmawati, NIM 08.05.211.00029, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, di bawah bimbingan Arie Wahyu P. Spi, M. sos, dan Aminah Dewi Rahmawati S.Sos, M.Si. Penelitian ini bertujuan untuk: mengetahui bagaimanakah strategi adaptasi pedagang kaki lima terhadap kebijakan relokasi pemerintah Pamekasan di Jalan Dirgahayu Kelurahan Bugih Kecamatan Pamekasan Kabupaten Pamekasan.
	Metode penelitian yang digunakan adalah metode kualitatif, pemilihan informan dalam penelitan ini yang dipilih adalah para pedagang kaki lima yang di relokasi oleh Pemerintah Kota Pemekasan ke Jalan Dirgahayu Kelurahan Bugih Kecamatan Pamekasan Kabupaten Pamekasan. Kemudian informan yang dipilih dalam penelitian ini sebanyak 9 informan.
	Hasil penelitian diketahui bahwa srategi adaptasi yang dilakukan oleh para pedagang kaki lima yang ada di Jalan Dirgahayu masih sama dengan cara-cara yang biasa digunakan pendatang untuk beradaptasi dengan lingkungan yang baru yakni dengan cara besikap sopan santun, memberikan pelayanan yang terbaik kepada pelanggan atau pembeli serta menjaga kebersihan lingkungan hal ini dilakukan PKL supaya dapat berinteraksi dan dapat diterima dengan baik di lingkungan yang baru ditempatinya itu. Selain itu untuk mempertahankan eksistensi, para PKL membentuk beberapa jaringan untuk dapat menciptakan kreatifitas dan kreasi dibidang kuliner supaya tetap eksis meskipun sudah direlokasi sehingga dapat diterima dengan baik.
Kata Kunci: Strategi Adaptasi, Kebijakan Relokasi.
"
8,"Gaya Hidup Klebun Perempuan 
(Studi Kasus di Desa Ponteh dan Desa Bulay, 
Kecamatan Galis, Kabupaten Pamekasan)",Hoiril Sabariman,"Khoirul Rosyadi, Ph.D","Aminah Dewi Rahmawati, S.Sos., M.Si","Penelitian ini dilakukan di Desa dan Desa Ponteh Bulay, Kecamatan Galis, Pamekasan. Ini Perempuan judul penelitian Lifestyle Klebun (Studi Kasus di Desa Ponteh dan desa Bulay, Kecamatan Galis, Pamekasan). Penelitian ini menarik karena gaya hidup yang ditunjukkan oleh perempuan Klebun. Masalah saya adalah bagaimana gambaran gaya hidup wanita Klebun. Penelitian ini menggunakan analisis deskriptif kualitatif, teori yang digunakan adalah teori nilai tanda dan nilai simbolik Jean Baudrillard dan perbedaan dermaga Bourdieu. Kesimpulan telah diperoleh gaya hidup realitas yang mengarah ke gaya hidup konsumtif. Posisi dan posisi dalam bidang karir untuk meningkatkan status sosial dan prestise di masyarakat, Belanja ke pusat perbelanjaan di kota Surabaya, tidak ada perhatian yang paling memakan faktor harga, faktor yang paling penting untuk dipertimbangkan adalah kebanggaan dan prestise. Motivasi dalam kegiatan rekreasi tidak hanya untuk melepas kepenatan namun tidak sedikit yang termotivasi untuk meningkatkan status dan prestise. Tanah dan rumah dibuat untuk meningkatkan status dan prestise juga bentuk rumah dan furnitur. ziarah ke Mekah, semakin sering seseorang melakukan ritual haji prestise yang bisa diperoleh dari masyarakat akan meningkat. Pada pemilihan sekolah untuk anak-anak, bukan kegiatan utama dalam studi mereka, tetapi juga pemilihan sekolah dengan status dan prestise dalam masyarakat.
 
    Kata kunci: Gaya hidup, status, prestise
"
9,PERUBAHAN HUBUNGAN SOSIAL DALAM KELUARGA PADA PEREMPUAN MADURA YANG BEKERJA DI SEKTOR INFORMAL (Studi Biografi Pada Keluarga Perempuan Pedagang Kaki Lima Suramadu Sisi Madura Asal Desa Pangpong Kecama,Ika Musriana,Dr. Dra. Sri Hidayati M.Si,"Hetti Mulyaningsih, S.Sos., M.kes.","
ABSTRAK 

Ika Musriana, NIM. 09.05.211.00042, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini tentang Perubahan Hubungan Sosial dalam Keluarga pada Perempuan Madura yang Bekerja di Sektor Informal (Studi Biografi pada Keluarga Perempuan PKL Suramadu Sisi Madura Asal Desa Pangpong Kecamatan Labang Kabupaten Bangkalan), di bawah bimbingan Dr. Dra. Sri Hidayati M.Si., dan Hetti Mulyaningsih S.Sos., M.Kes. 
Penelitian ini dilatarbelakangi oleh realita yang menarik di area Suramadu yang banyak terdapat perempuan Madura menjadi PKL di Suramadu sisi Madura. Penelitian ini bertujuan untuk mengetahui penyebab terjadinya perubahan hubungan sosial dalam keluarga perempuan Madura yang menjadi PKL Suramadu dan mengetahui proses perubahan hubungan sosial dalam keluarga. Penelitian ini menggunakan metode kualitatif dengan jenis penelitian studi biografi. Peneliti menggali data di lapangan dengan wawancara mendalam, observasi partisipan dan dokumentasi, informan yang didapat berdasarkan snowball sampling. Data yang diperoleh dianalisis menggunakan pendekatan studi biografi dengan diperiksa keabsahannya melalui trianggulasi sumber, agar data yang diperoleh menjadi valid. Penelitian ini berlokasi di Kawasan Kaki Jembatan Suramadu. 
Hasil penelitian menunjukkan bahwa penyebab terjadinya perubahan hubungan sosial dalam keluarga perempuan PKL Suramadu sisi Madura asal Desa Pangpong adalah dipengaruhi oleh faktor internal dan faktor eksternal. Faktor internal terdiri dari faktor kebutuhan (ekonomi), psikologis, dan pola pikir, sedangkan faktor eksternal terdiri dari perubahan geografis, kontak dan komunikasi dengan masyarakat, peluang/kesempatan, nilai budaya patriarki. Sedangkan perubahan hubungan sosial dalam keluarga adalah, sebelum informan menjadi PKL Suramadu, hubungan sosial yang terjalin dalam keluarga tidak selalu bersifat asosiatif, ada yang bersifat disosiatif. Setelah menjadi PKL Suramadu, hubungan dalam keluarga dari semula asosiatif berubah menjadi disosiatif, dan sebaliknya dari hubungan yang bersifat disosiatif menjadi hubungan asosiatif, serta ada yang tetap mempertahankan hubungan dalam keluarga seperti sebelum menjadi PKL Suramadu. 

Kata kunci : Perubahan, Hubungan Sosial, Keluarga, Perempuan Madura, Sektor Informal"
