userName;score;at;content;;
Riza Bhinnikawati;1;08/11/2023 04:12;Parah sih. Susah mau booking. Enakan aplikasi lama.;;
wahyu dicky;2;08/11/2023 03:24;Lbh mudah aplikasi yg lama.. Yg baru kebanyakan fitur iklan promosi;;
Aziz Hanafi;1;08/11/2023 01:12;aplikasi nggak jelas;;
Erna Ekawati;1;07/11/2023 23:19;Hapus akun ngga bisa *** , ini developer appsnya ngga bisa bikin kayaknya;;
Intan Kurnia;1;07/11/2023 21:34;"Makin kesini emg tampilan nya bagus tapi eror , bolak balik gagal pembayaran . Sekali berhasil eh tiba"" ganti kursi sendiri yg tadi nya milih gerbong 5 jadi gerbong 1 Udah mau ganti kursi malah gak bisa lagi";;
Prihastini Setyo Wulandari;1;07/11/2023 18:29;Lokasi kai logistik tidak bisa dicari, fitur estimasi biaya tidak berfungsi;;
Sri Wijayanti;1;07/11/2023 16:54;Mau daftar susah betul nah uda diisi semua masih gak bisa mau pesen tiket langsung di stasiun mana kagak bisa, kai ruwet betulll kagak kaya jaman dulu enak.;;
M. Yoga Dwi Parman;1;07/11/2023 16:05;Di update malah tambah parah GK bisa recsedule,pas dimasukin mode pemesanan salah terus;;
Nanahara ariesta;1;07/11/2023 15:55;lebih bagus versi lama,versi baru tiket sudah tidak tersediapun masih muncul,bkin php. dan lagi untuk orangtua makin susah,kasihan. tolong diperbaiki lagi banyak yang masih ngelag juga.;;
Chandra Rynaldi;5;07/11/2023 15:37;Aplikasi udh bagus, cuman metode pembayaran masih sedikit, ditambahkan e-wallet seperti Dana, QRIS sekarang sudah canggih pembayaran, jangan hanya pakai kartu debit mandiri saja yg bisa, tapi bisa mendukung semua kartu debit di Indonesia, semoga kedepannya lebih diperhatikan metode pembayaran;;
Diki Purnawan;1;07/11/2023 15:19;sekarang jadi susah buat pesen tiket ka lokal tolong perbaiki dong;;
Ade Purnomo;5;07/11/2023 15:02;Keren;;
Desy Indraw;1;07/11/2023 13:40;lebih lama saat login dan saat mau pesan tiket kadang ke log out.;;
Nurul Atfal;1;07/11/2023 13:25;Buat apa yg ditampilkan harga termurah tapi pas diklik sudah pada sold,alias kena prank yg tersedia tinggal harga yg mahal.mending seperti tampilan lama hanya menampilkan tiket yg tersedia.;;
Hutomo tri Panji S;1;07/11/2023 12:56;Versi terbaru tambah buruk sangat mengecewakan;;
Faber Aksi;3;07/11/2023 12:39;Lebih baik fitur lama kita bisa lebih mudah memilih kereta apa yang kita mau naik,milih tempat duduk,dll..yang terbaru sepertinya ribet...bintang 3 dulu...terus saya mau tanya kenapa di riwayat transaksi saya tidak ditampilkan kereta motis yang pernah saya naikin dari jogya ke pse Senen? Terus apa masih bisa naik kereta motis? Kok tidak ada keretanya?;;
tommy christianto;1;07/11/2023 12:09;semakin lama semakin mahal harga tiket nya, dan sering kehabisan tiket;;
assyfa tn;1;07/11/2023 11:35;Mencari stasiun antar kota tidak muncul. Yang muncul hanya stasiun populer. Dan lama ketika diakses, sinyal tidak stabil katanya, padahal buat akses yang lain bisa. Mohon diperbaiki secepatnya;;
Muhammad Isbat;1;07/11/2023 11:29;Kalau boleh jujur sih, ini aplikasi Jauh lebih buruk dari pada aplikasi sebelumnya. Saya rasa bukan hanya saya aja yang merasa kecewa bener terkait aplikasi KAI Access sekarang.;;
Ferry Mardya;1;07/11/2023 11:22;Saat akan daftar akun basic kenapa saya tidak bisa input no hp saya, kolom untuk masukkan no hp tidak dapat di isi!!;;
Kober Ary;1;07/11/2023 10:44;Sudah punya akun basic , di suruh upgrade gagal trus . Niat ga cok , aplikasi kok bosok;;
Timotius Rendy;1;07/11/2023 08:50;Aplikasi jadi berat dan lemot. Beli tiket aja lama bngt buka nya .telat 2 menit langsung habis tiket nya.;;
