Review,SENTIMEN
"['puas', 'belanja', 'shopee', 'diskon', 'gratis', 'ongkir', 'jual', 'kurir', 'sopan']",POSITIF
"['aplikasi', 'bagus', 'bantu']",POSITIF
"['kecewa', 'shopee', 'eror', 'checkout', 'aja', 'susah']",NEGATIF
"['shope', 'bagus', 'suka', 'banget', 'shopee']",POSITIF
"['kecewa', 'gratis', 'ongkir', 'mahal', 'gak', 'bayar']",NEGATIF
"['kecewa', 'ubah', 'ekspedisi', 'kirim', 'cepet', 'ongkirnya', 'murah', 'mahal']",NEGATIF
"['bagus', 'banget', 'puas', 'emas', 'rapi', 'banget', 'makasih', 'ya', 'seller']",POSITIF
"['aplikasi', 'bagus', 'bonus']",POSITIF
"['aplikasi', 'eror', 'bikin', 'pusing', 'susah', 'bayar', 'susah', 'cari']",NEGATIF
"['udh', 'kecewa', 'banget', 'uang', 'pesan']",NEGATIF
"['shopee', 'emang', 'keren', 'banget', 'sayang', 'shopee', 'later', 'gak', 'pakai']",POSITIF
"['bagus', 'tahan', 'yah']",POSITIF
"['bagus', 'tingkat', 'ya', 'shopee']",POSITIF
"['shopee', 'keren', 'cuman', 'jual', 'mahal', 'barang', 'mesti', 'ken']",POSITIF
"['bagus', 'banget', 'aplikasi']",POSITIF
"['lebih', 'barang', 'jual', 'lengkap', 'luat', 'negeri', 'proses', 'bayar', 'mudah', 'aman', 'kurang', 'loading', 'banget', 'cuman', 'masukin', 'barang', 'keranjang', 'sih', 'chace', 'nya', 'tambah', 'versi', 'baru', 'plus', 'clear', 'chace', 'admin', 'aja', 'loulasan', 'lengkap']",POSITIF
"['makasih', 'shopee', 'mantap', 'kali', 'pesan', 'bravo', 'shopee', 'masker', 'untuh', 'halang', 'virus', 'korona', 'dunia', 'wabil', 'khusus', 'indonesia', 'raya', 'cinta', 'hehe']",POSITIF
"['suka', 'barang', 'nya', 'kirim', 'nya', 'kadang']",POSITIF
"['barang', 'cari']",POSITIF
"['terimakasih', 'shopee']",POSITIF
"['barang', 'sesuai', 'gambar']",POSITIF
"['suka', 'moga', 'aman', 'amanah', 'ya', 'terimakasih', 'shopee']",POSITIF
"['mesan', 'program', 'perintah', 'rumah', 'aja', 'enak']",POSITIF
"['jaga', 'percaya', 'langgan']",POSITIF
"['belanja', 'online', 'mudah']",POSITIF
"['layan', 'muas']",POSITIF
['moga'],POSITIF
"['pantau', 'kualitas', 'dr', 'produsenterutama', 'barang', 'elektronik']",POSITIF
"['mantap', 'harga', 'murah', 'bikin', 'pasar', 'ofline', 'ngadat']",POSITIF
"['suka', 'belanja', 'shopee', 'nya', 'hidup', 'virus', 'covid', 'ongkir', 'harga', 'produk', 'tolong', 'potong', 'murah', 'beli']",POSITIF
"['tolong', 'baik', 'performa', 'aplikasi', 'masak', 'beli', 'alat', 'elektronik', 'total', 'belanja', 'ya', 'ribu', 'hitung', 'manual', 'ya', 'paksa', 'kurang', 'bintang']",POSITIF
"['nyaman', 'belanja', 'shopejadi', 'ribet']",POSITIF
